ID,Date,Close
1,28.09.2018,233.75
2,27.09.2018,233.25
3,26.09.2018,234.25
4,25.09.2018,236.1
5,24.09.2018,233.3
6,21.09.2018,234.6
7,19.09.2018,234.9
8,18.09.2018,235.05
9,17.09.2018,236.6
10,14.09.2018,233.95
11,12.09.2018,222.65
12,11.09.2018,216
13,10.09.2018,222
14,7.09.2018,222.95
15,6.09.2018,221.05
16,5.09.2018,222.4
17,4.09.2018,223.7
18,3.09.2018,236.7
19,31.08.2018,234.3
20,30.08.2018,236
21,29.08.2018,234.55
22,28.08.2018,233.35
23,27.08.2018,237.05
24,24.08.2018,231
25,23.08.2018,235.45
26,21.08.2018,240.55
27,20.08.2018,245.15
28,17.08.2018,243
29,16.08.2018,239.35
30,14.08.2018,237.55
31,13.08.2018,234.55
32,10.08.2018,233.55
33,9.08.2018,237.3
34,8.08.2018,236.35
35,7.08.2018,237.6
36,6.08.2018,239.5
37,3.08.2018,234.65
38,2.08.2018,235.45
39,1.08.2018,235.65
40,31.07.2018,246.9
41,30.07.2018,242.2
42,27.07.2018,242.25
43,26.07.2018,239.1
44,25.07.2018,236.9
45,24.07.2018,246.3
46,23.07.2018,243.3
47,20.07.2018,238.6
48,19.07.2018,233.1
49,18.07.2018,238.65
50,17.07.2018,247.9
51,16.07.2018,243.25
52,13.07.2018,258.9
53,12.07.2018,265.2
54,11.07.2018,269.8
55,10.07.2018,274.75
56,9.07.2018,275.25
57,6.07.2018,266.3
58,5.07.2018,271.25
59,4.07.2018,277.3
60,3.07.2018,281
61,2.07.2018,264.45
62,29.06.2018,269.35
63,28.06.2018,263.95
64,27.06.2018,265.6
65,26.06.2018,267.35
66,25.06.2018,264.5
67,22.06.2018,262.1
68,21.06.2018,258.2
69,20.06.2018,260.85
70,19.06.2018,267.05
71,18.06.2018,275.35
72,15.06.2018,272.15
73,14.06.2018,277.8
74,13.06.2018,269.6
75,12.06.2018,267.6
76,11.06.2018,263.7
77,8.06.2018,266.95
78,7.06.2018,267.1
79,6.06.2018,265.75
80,5.06.2018,263.75
81,4.06.2018,255.25
82,1.06.2018,263.25
83,31.05.2018,269.2
84,30.05.2018,264.5
85,29.05.2018,257.5
86,28.05.2018,260.65
87,25.05.2018,257.85
88,24.05.2018,254.5
89,23.05.2018,250.2
90,22.05.2018,247.15
91,21.05.2018,243.55
92,18.05.2018,244.7
93,17.05.2018,247.5
94,16.05.2018,241.1
95,15.05.2018,242.65
96,14.05.2018,255.9
97,11.05.2018,287.5
98,10.05.2018,285.25
99,9.05.2018,292
100,8.05.2018,289.7
101,7.05.2018,294.2
102,4.05.2018,287.8
103,3.05.2018,286.65
104,2.05.2018,292.75
105,30.04.2018,297.55
106,27.04.2018,292.1
107,26.04.2018,291.2
108,25.04.2018,289.1
109,24.04.2018,283.15
110,23.04.2018,283.6
111,20.04.2018,286.3
112,19.04.2018,286.2
113,18.04.2018,284.1
114,17.04.2018,280.95
115,16.04.2018,279.65
116,13.04.2018,275.5
117,12.04.2018,273.85
118,11.04.2018,273.85
119,10.04.2018,275.5
120,9.04.2018,277.8
121,6.04.2018,272.7
122,5.04.2018,273
123,4.04.2018,270.25
124,3.04.2018,274.8
125,2.04.2018,276.95
126,28.03.2018,258.75
127,27.03.2018,263.8
128,26.03.2018,262.2
129,23.03.2018,257.9
130,22.03.2018,258.85
131,21.03.2018,263.2
132,20.03.2018,262.05
133,19.03.2018,260.6
134,16.03.2018,272.4
135,15.03.2018,279.6
136,14.03.2018,278.5
137,13.03.2018,278.2
138,12.03.2018,276.05
139,9.03.2018,268.35
140,8.03.2018,273.4
141,7.03.2018,268.9
142,6.03.2018,274.15
143,5.03.2018,275.65
144,1.03.2018,274.85
145,28.02.2018,275.5
146,27.02.2018,275
147,26.02.2018,273.5
148,23.02.2018,270.7
149,22.02.2018,262.15
150,21.02.2018,266.6
151,20.02.2018,262.85
152,19.02.2018,267.95
153,16.02.2018,275.6
154,15.02.2018,279.05
155,14.02.2018,281.95
156,12.02.2018,285.1
157,9.02.2018,278.25
158,8.02.2018,280.45
159,7.02.2018,280.15
160,6.02.2018,266.7
161,5.02.2018,273.1
162,2.02.2018,274.85
163,1.02.2018,288.35
164,31.01.2018,290.65
165,30.01.2018,304
166,29.01.2018,301.8
167,25.01.2018,304.25
168,24.01.2018,304.25
169,23.01.2018,307.2
170,22.01.2018,308.85
171,19.01.2018,308.35
172,18.01.2018,305.45
173,17.01.2018,313.55
174,16.01.2018,316.4
175,15.01.2018,323
176,12.01.2018,325.75
177,11.01.2018,313.3
178,10.01.2018,314.1
179,9.01.2018,315.3
180,8.01.2018,317.6
181,5.01.2018,312.95
182,4.01.2018,312.25
183,3.01.2018,311.2
184,2.01.2018,311.15
185,1.01.2018,312.9
186,29.12.2017,316.4
187,28.12.2017,306.6
188,27.12.2017,305.55
189,26.12.2017,305.95
190,22.12.2017,302.75
191,21.12.2017,300.15
192,20.12.2017,300.85
193,19.12.2017,300.65
194,18.12.2017,290.85
195,15.12.2017,286.85
196,14.12.2017,284.3
197,13.12.2017,284.45
198,12.12.2017,287.8
199,11.12.2017,298.35
200,8.12.2017,288.45
201,7.12.2017,284
202,6.12.2017,274.95
203,5.12.2017,279.95
204,4.12.2017,279.05
205,1.12.2017,283.55
206,30.11.2017,287.1
207,29.11.2017,280.2
208,28.11.2017,287.75
209,27.11.2017,277.45
210,24.11.2017,278.7
211,23.11.2017,274.8
212,22.11.2017,274.05
213,21.11.2017,273.15
214,20.11.2017,274.9
215,17.11.2017,259.9
216,16.11.2017,251.95
217,15.11.2017,250.9
218,14.11.2017,246.7
219,13.11.2017,234.4
220,10.11.2017,236.15
221,9.11.2017,240.45
222,8.11.2017,224.5
223,7.11.2017,225
224,6.11.2017,234.7
225,3.11.2017,225.3
226,2.11.2017,226.35
